movie_id|poster_image|name|born
414943|http://image.tmdb.org/t/p/w300/m80aPwDkO7J87M39WsbMNoxBCoC.jpg|Lee Pace|1979
414944|http://image.tmdb.org/t/p/w300/fwCpSzQzI6ONplBhGszkE4bwnER.jpg|Bret McKenzie|1976
414945|http://image.tmdb.org/t/p/w300/4009c4aSNpIMiFlckJtpRGxcfkW.jpg|Aidan Turner|1983
414946|http://image.tmdb.org/t/p/w300/2uNrFQA0Zkkg5UFoYwixGSClJL3.jpg|James Nesbitt|1965
414947|http://image.tmdb.org/t/p/w300/bBXWmZtFbKy6Wzk1fHOCE8j6KfS.jpg|Barry Humphries|1934
414948|http://image.tmdb.org/t/p/w300/aS2ZLIOYsmL8UQscHEOOFMERI4F.jpg|Ken Stott|1957
414949|http://image.tmdb.org/t/p/w300/lSXxMaASqm9TfnKaDNaxolEOW3A.jpg|Dean O'Gorman|1976
414950|http://image.tmdb.org/t/p/w300/tLDVQCeSBRcAYXseZlqyK1GOx7l.jpg|Manu Bennett|1969
414951|http://image.tmdb.org/t/p/w300/8MN8C1w1wuEHMxdvDqHP5bDFMh.jpg|Peter Jackson|1961
414952|http://image.tmdb.org/t/p/w300/OV7rIE4sjk3wDbnRj2Y7Gcxf6V.jpg|Guillermo del Toro|1964
414971|http://image.tmdb.org/t/p/w300/pCncR8lsJkjNjuIgaONV2iDthyt.jpg|Mikael Persbrandt|1963
414972|http://image.tmdb.org/t/p/w300/uaRoTAS2D15vdlpHm122UEUg5ck.jpg|Stephen Fry|1957
414973|http://image.tmdb.org/t/p/w300/oAOpJKgKEdW49jXrjvUcPcEQJb3.jpg|Evangeline Lilly|1979
414974|http://image.tmdb.org/t/p/w300/jLF5zDGkxhSkea49CeOrpyMFipN.jpg|Orlando Bloom|1977
414975|http://image.tmdb.org/t/p/w300/1d31uDYub8TaLOPWfgX78OotduD.jpg|Luke Evans|1979
415232|http://image.tmdb.org/t/p/w300/hkJ8UaqMacoIiVkqu1AG69cIjMI.jpg|Justin Theroux|1971
415237|http://image.tmdb.org/t/p/w300/n0cVP5K2VxlohkAf7LoRwPt4xhu.jpg|Ben Kingsley|1943
415238|http://image.tmdb.org/t/p/w300/kpKck3ENK9e6XPrcCWIU9GEZr15.jpg|Rebecca Hall|1982
415239|http://image.tmdb.org/t/p/w300/u84OwMo6Dn0tlathI6EFlZYJZNj.jpg|William Sadler|1950
415240|http://image.tmdb.org/t/p/w300/dtv82z6uNuMkY65KcjD1TsTu4gP.jpg|James Badge Dale|1978
415241|http://image.tmdb.org/t/p/w300/5lfNRXxBaEz5UJah3s3FcN1xPgY.jpg|Yvonne Zima|1989
415242|http://image.tmdb.org/t/p/w300/7k2SH5xKV5pq7ntJDxNz4T9hItT.jpg|Ashley Hamilton|1974
415243|http://image.tmdb.org/t/p/w300/nilP2STQdGFhHVgCjTwBYGIwYsM.jpg|Spencer Garrett|1963
415244|http://image.tmdb.org/t/p/w300/tboCwZFTgogpbY2PQI7FcjoLdNK.jpg|Bridger Zadina|1994
415245|http://image.tmdb.org/t/p/w300/duZP6q1JQ1Is797xsZplydvgsRL.jpg|Jonathan Jackson|1982
415246|http://image.tmdb.org/t/p/w300/apuHZEpjtOFt7lsaZMBZL8pzj69.jpg|Stephanie Szostak|1975
415247|http://image.tmdb.org/t/p/w300/qpcel7RjjJyiayVmw9zQ389qqwX.jpg|Guy Pearce|1967
415248|http://image.tmdb.org/t/p/w300/zkjGHGH47wm8iNpnoyKBRW2LDV6.jpg|Ty Simpkins|2001
415249|http://image.tmdb.org/t/p/w300/fvRncqShcaV8R45IJGYZ7IAvrsO.jpg|Miguel Ferrer|1955
415250|http://image.tmdb.org/t/p/w300/9slEH8S7APuw3PifJNSYJ04ceJA.jpg|Shane Black|1961
415251|http://image.tmdb.org/t/p/w300/5nqmZQSOioaOGCMnKBmgyI4k2p0.jpg|Dan Mintz|1981
415122|http://image.tmdb.org/t/p/w300/1bAJgZFmu6QMzPBUv3X90CSBL99.jpg|Robin Wright|1966
415123|http://image.tmdb.org/t/p/w300/qU5xGqREbvbzOUKBtVTDOiUN5Qn.jpg|Mykelti Williamson|1960
415124|http://image.tmdb.org/t/p/w300/ymhpsxujOO3a9qaGYSpkenCt9Le.jpg|Sally Field|1946
415125|http://image.tmdb.org/t/p/w300/s3HnyavKcGcnv6lj38YBNSpzolE.jpg|Haley Joel Osment|1988
415126|http://image.tmdb.org/t/p/w300/e73ADDpR3vT1Bwa0Q0oRp5RQWTb.jpg|Eric Roth|1945
415168|http://image.tmdb.org/t/p/w300/tOIuOXdyCml6WHJLv3ZyOMILff2.jpg|Henry Cavill|1983
415169|http://image.tmdb.org/t/p/w300/alI8HC95Or4Tmere4smM6P2II5v.jpg|Amy Adams|1974
